LISR_301116,LEY del Impuesto sobre la Renta
84_270115,LEY del Instituto de Seguridad Social para las Fuerzas Armadas Mexicanas
LISSSTE_240316,LEY del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado
86_240117,LEY del Instituto del Fondo Nacional de la Vivienda para los Trabajadores
LIFNCT,LEY del Instituto del Fondo Nacional para el Consumo de los Trabajadores
87_020415,LEY del Instituto Mexicano de la Juventud
88_040615,LEY del Instituto Nacional de las Mujeres
LINEE_270117,LEY del Instituto Nacional para la Evaluación de la Educación
LMV,LEY del Mercado de Valores
LRNDPED,LEY  del Registro Nacional de Datos de Personas Extraviadas o Desaparecidas
269,LEY del Registro Público Vehicular
92_121115,LEY del Seguro Social
93_171215,LEY del Servicio de Administración Tributaria
96_010616,LEY del Servicio Exterior Mexicano
97,LEY del Servicio Militar
98_040615,LEY del Servicio Postal Mexicano
260,LEY del Servicio Profesional de Carrera en la Administración Pública Federal
239_310115,LEY del Sistema de Horario en los Estados Unidos Mexicanos
LSNIEG_270117,LEY del Sistema Nacional de Información Estadística y Geográfica
LSPREM_181215,LEY del Sistema Público de Radiodifusión del Estado Mexicano
100,LEY en Favor de los Veteranos de la Revolución como Servidores del Estado
LFACP_180716,LEY Federal Anticorrupción en Contrataciones Públicas
101_160616,LEY Federal Contra la Delincuencia Organizada
LFA,LEY  Federal de Archivos
102_12nov15,LEY Federal de Armas de Fuego y Explosivos
103_171215,LEY Federal de Cinematografía
LFCE_270117,LEY Federal de Competencia Económica
LFCP,LEY Federal de Consulta Popular
105,LEY Federal de Correduría Pública
106_170616,LEY Federal de Defensoría Pública
107_231216,LEY Federal de Derechos
136_270416,LEY Federal de Deuda Pública
LFED_120116,"LEY  Federal de Extinción de Dominio, Reglamentaria del artículo 22 de la Constitución Política de los Estados Unidos Mexicanos"
266,LEY Federal de Fomento a las Actividades Realizadas por Organizaciones de la Sociedad Civil
109,LEY Federal de Juegos y Sorteos
110_181215,LEY Federal de las Entidades Paraestatales
LFDC,LEY Federal de los Derechos del Contribuyente
111,"LEY Federal de los Trabajadores al Servicio del Estado, Reglamentaria del Apartado B) del Artículo 123 Constitucional"
LFPRH_301215,LEY Federal de Presupuesto y Responsabilidad Hacendaria
112,LEY Federal de Procedimiento Administrativo
LFPCA_270117,LEY Federal de Procedimiento Contencioso Administrativo
LFPCCS,"Ley Federal de Producción, Certificación y Comercio de Semillas"
113_281216,LEY Federal de Protección al Consumidor
LFPDPPP,LEY Federal de Protección de Datos Personales en Posesión de los Particulares
LFRA,LEY
LFRPE,Federal de Responsabilidad Ambiental
240_180716,LEY Federal de Responsabilidad Patrimonial del Estado
115_180716,LEY Federal de Responsabilidades Administrativas de los Servidores Públicos
LFSA,LEY Federal de Responsabilidades de los Servidores Públicos
117,LEY Federal de Sanidad Animal
LFSP,LEY Federal de Sanidad Vegetal
LFTR_270117,LEY Federal de Seguridad Privada
LFTAIP_270117,LEY Federal de Telecomunicaciones y Radiodifusión
120,LEY Federal de Transparencia y Acceso a la Información Pública
LFZEE,LEY Federal de Variedades Vegetales
122_130116,LEY Federal de Zonas Económicas Especiales
123_120117,LEY Federal del Derecho de Autor
124,LEY Federal del Impuesto sobre Automóviles Nuevos
125_120615,LEY Federal del Mar
126,LEY Federal del Trabajo
